2022-12-04 16:33:24.017715,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:24.065376,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:24.098036,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:24.162027,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:24.193483,INFO,WAIT,Wait mode has started
2022-12-04 16:33:24.226046,INFO,WAIT,Check low power
2022-12-04 16:33:24.258190,INFO,WAIT,Check timed command
2022-12-04 16:33:24.289867,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:24.337514,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:24.401087,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:24.450480,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:25.489894,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:25.538368,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:25.586001,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:25.697430,INFO,WAIT,Check low power
2022-12-04 16:33:25.729854,INFO,WAIT,Check timed command
2022-12-04 16:33:25.777919,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:25.873848,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:25.937470,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:26.977994,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:27.026036,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:27.058169,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:27.122012,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:27.186385,INFO,WAIT,Check low power
2022-12-04 16:33:27.218356,INFO,WAIT,Check timed command
2022-12-04 16:33:27.299141,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:27.361921,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:27.410917,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:28.450837,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:28.498340,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:28.546391,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:28.594363,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:28.658648,INFO,WAIT,Check low power
2022-12-04 16:33:28.690659,INFO,WAIT,Check timed command
2022-12-04 16:33:28.738321,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:28.770717,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:28.834744,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:28.899056,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:29.938398,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:29.986984,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:30.019964,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:30.082780,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:30.146957,INFO,WAIT,Check low power
2022-12-04 16:33:30.211087,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:30.259130,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:30.323057,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:30.372099,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:31.411750,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:31.459014,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:31.507522,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:31.555873,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:31.587143,INFO,WAIT,Wait mode has started
2022-12-04 16:33:31.651815,INFO,WAIT,Check timed command
2022-12-04 16:33:31.699785,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:31.747356,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:31.795121,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:31.859101,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:32.898663,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:32.947676,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:32.979796,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:33.044029,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:33.108036,INFO,WAIT,Check low power
2022-12-04 16:33:33.172121,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:33.219813,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:33.284113,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:33.331828,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:38.292568,ERROR,ERROR
2022-12-04 16:33:38.324914,INFO,INFO
2022-12-04 16:33:38.340856,DEBUG,DEBUG
2022-12-04 16:33:38.373325,INFO,INIT,Initialization mode started
2022-12-04 16:33:38.404917,INFO,INIT,Initialization local time
2022-12-04 16:33:38.452992,INFO,INIT,Initialization memory
2022-12-04 16:33:38.757154,INFO,INIT,Find HK last address of HK memory
2022-12-04 16:33:39.525549,INFO,INIT,Find Mission last address of HK memory
2022-12-04 16:33:39.797720,INFO,INIT,Read operation parameters
2022-12-04 16:33:39.845573,DEBUG,ul_deployed_flag = 0
2022-12-04 16:33:39.893366,INFO,INIT,RCV1_SetHigh
2022-12-04 16:33:39.925336,INFO,INIT,Check antenna deployment
2022-12-04 16:33:39.988752,DEBUG,ANT_IDX=0	deplyed_flag=0	wait_flag=0	ant_status=1
2022-12-04 16:33:40.037442,INFO,INIT,Initialize mode end -> ANTDEP_MODE
2022-12-04 16:33:40.085668,INFO,ANTDEP,antenna deployment mode has started
2022-12-04 16:33:40.117173,INFO,ANTDEP,wait 30min started
2022-12-04 16:33:40.148937,INFO,ANTDEP,wait 30min finished
2022-12-04 16:33:40.213667,DEBUG,Write = 00010000
2022-12-04 16:33:40.261131,INFO,ANTDEP,Deploy uplink antenna
